"Source:","/home/mark/src/OHIS/user-adapter/User Adapter/User Adapter.kicad_sch"
"Date:","Wed 10 Jan 2024 05:53:40 PM PST"
"Tool:","Eeschema 7.0.10-7.0.10~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Link","Manufacturer","Part Number","Z0 Buy in Qty","Z1 Cost to buy","Z2 Cost per part","Z3 Cost per Qty"
"14","1","J3","Microphone","Connector_Audio:AudioJack4","Libraries:Conn-3.5mm-TRRS-PJ-320L","~","","https://www.ebay.com/itm/171341984993","Generic","PJ-320A","300","44.97","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"15","1","J4","PTT","Connector_Audio:AudioJack4","Libraries:Conn-3.5mm-TRRS-PJ-320L","~","","https://www.ebay.com/itm/171341984993","Generic","PJ-320A","300","44.97","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"16","1","J5","Dynamic Mic Bypass","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","https://www.ebay.com/itm/192706747569","Generic",".1"" 2.54mm Pin Header","400","9.89","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"17","1","J6","HP or CTIA","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","https://www.ebay.com/itm/192706747569","Generic",".1"" 2.54mm Pin Header","400","9.89","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"18","1","Q1","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","https://www.mouser.com/ProductDetail/512-2N3904TA","Various eg Onsemi","2N3904","120","11.52","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"19","1","R1","75k","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.mouser.com/ProductDetail/603-CFR-12JB-52-75K","Yageo","CFR-12JB-52-75k","120","2.16","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"20","1","R2","27k","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.mouser.com/ProductDetail/603-CFR-12JB-52-27K","Yageo","CFR-12JB-52-27k","120","2.16","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"21","1","R3","470","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.mouser.com/ProductDetail/603-CFR-12JB-52-470R","Yageo","CFR-12JB-52-470R","120","2.16","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"22","1","RV1","1k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Piher_PT-6-H_Horizontal","~","","https://www.mouser.com/ProductDetail/531-N6-S25T0C-1K","Piher","N6-S25T0C-102","100","23.10","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"23","1","SW1","PTT","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H9.5mm","~","","https://www.ebay.com/itm/171349350074?","Generic","6x6x13mm Push Button","100","=4.99+2.99","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
